company,root_domain,tier,source,geo,size_band,fit_signal,verification_status
Hunt Capital Partners (KC active),huntcapitalpartners.com,Tier 3,Investor leads existing,KC + LA,LIHTC syndicator,affordable/tax credit,unverified
Invitation Homes,invitationhomes.com,Tier 3,Public roster,Dallas,$XXB AUM,single-family rental,unverified
JLL Real Estate Capital (US),jll.com,Tier 3,Public roster,Chicago/NY,$XXXB+ AUM,capital markets,unverified
KC Property Partners,kcpropertypartners.com,Tier 3,Existing target list 2026-08-21,KC,KC MF operator,local co-GP,unverified
Lennar Multifamily Investors (LMI),lennar.com,Tier 3,Public roster,Miami,$XXB AUM,multifamily build-to-rent,unverified
Likens-Lindemann Capital,likens-lindemann.com,Tier 3,Existing target list 2026-08-21,KC,KC RE,smaller GP,unverified
Milhaus (KC + Indianapolis),milhaus.com,Tier 3,KC press,KC/Indy,regional GP,multifamily,unverified
Monarch Private Capital,monarchprivatecapital.com,Tier 3,Investor leads existing,KC + Atlanta,LIHTC syndicator,LIHTC equity,unverified
Pretium Partners,pretium.com,Tier 3,Public roster,NY/LA,$XXB AUM,residential housing,unverified
Price Brothers (KC multifamily),pricebrothers.com,Tier 3,KC press,KC,regional GP,multifamily/mixed-use,unverified
Progress Residential,rentprogress.com,Tier 3,Public roster,Scottsdale,$XXB AUM,single-family rental,unverified
Prudential Mortgage Capital / PGIM Real Estate,pgim.com,Tier 3,Existing target list 2026-08-21,national,$200B+ AUM,institutional co-GP,verified-domain
Rockpoint Group,rockpointgroup.com,Tier 3,Public roster,Boston,$XXB AUM,value-add RE,unverified
Shelterwood Capital Partners,shelterwoodcapital.com,Tier 3,Existing target list 2026-08-21,KC,KC RE,multifamily co-GP,unverified
Starwood Capital Group,starwood.com,Tier 3,Public roster,Miami,$XXXB+ AUM,multifamily/value-add,unverified
TruAmerica Multifamily,truamerica.com,Tier 3,Public roster,LA/NY,$XXB AUM,multifamily value-add,unverified
Watermark Residential (KC),watermarkresidential.com,Tier 3,KC press,KC,regional,multifamily,unverified
